unique_id,doctor_id,specialty,medication,nb_beneficiaries,spending
TX192746,1679671937,INTERNAL MEDICINE,RISPERIDONE,18,82.75
GZ691667,1235181991,RHEUMATOLOGY,ETANERCEPT,58,239832.89
CP166793,1770699423,FAMILY PRACTICE,MIDODRINE HCL,13,598.97
BK844206,1790707925,FAMILY PRACTICE,ATENOLOL/CHLORTHALIDONE,52,796.99
DO326322,1497725931,OPTOMETRY,TOBRAMYCIN/DEXAMETHASONE,11,1015.54
LC673466,1619181427,CARDIOLOGY,PRAVASTATIN SODIUM,11,591.5
KY921227,1063454247,INTERNAL MEDICINE,MECLIZINE HCL,17,531.38
WU733686,1326256975,INTERNAL MEDICINE,OXYCODONE HCL,44,4498.6
RV220109,1609850486,INTERNAL MEDICINE,ATORVASTATIN CALCIUM,244,4529.99
OX340925,1588653521,FAMILY PRACTICE,NITROGLYCERIN,15,231.36
AU180865,1467463349,NURSE PRACTITIONER,PREGABALIN,57,24779.71
QZ688124,1952537375,FAMILY PRACTICE,WARFARIN SODIUM,121,1791.5
DH433599,1366781080,NURSE PRACTITIONER,CITALOPRAM HYDROBROMIDE,17,201.95
YC934156,1124015730,INTERNAL MEDICINE,METOPROLOL SUCCINATE,26,1830.93
TX864059,1386873578,FAMILY PRACTICE,POTASSIUM CHLORIDE,30,2083.93
QJ760696,1528130374,FAMILY PRACTICE,CEPHALEXIN,20,101.45
BJ152414,1811987928,FAMILY PRACTICE,TELMISARTAN/HYDROCHLOROTHIAZID,22,2062.49
XG605688,1922447929,NURSE PRACTITIONER,HALOPERIDOL DECANOATE,16,486.07
AQ777604,1275532160,FAMILY PRACTICE,CARVEDILOL,18,58.3
HI410789,1801882386,CARDIOLOGY,METOPROLOL TARTRATE,305,2065.75
SK725155,1568469666,CARDIOLOGY,VERAPAMIL HCL,50,848.85
CW809617,1871545236,NEUROLOGY,LEVETIRACETAM,17,1417.29
KI447178,1104887314,NURSE PRACTITIONER,GABAPENTIN,130,3255.98
QK196665,1285841544,STUDENT IN AN ORGANIZED HEALTH CARE EDUCATION/TRAINING PROGRAM,ENALAPRIL MALEATE,15,523.94
EX839538,1003879743,PULMONARY DISEASE,GLIPIZIDE,66,483.3
ZL496967,1700823853,INTERNAL MEDICINE,OXYCODONE HCL,63,2292.44
GV141485,1265426407,FAMILY PRACTICE,CEPHALEXIN,25,137.85
RB338678,1386892057,PHYSICIAN ASSISTANT,MIRABEGRON,14,3854.55
KT967219,1821029091,FAMILY PRACTICE,FINASTERIDE,28,657.91
LN271387,1003988718,DERMATOLOGY,CLOBETASOL PROPIONATE,49,11288.11
PS629422,1912974536,INTERNAL MEDICINE,MIRTAZAPINE,42,1090.2
BC531322,1285913970,PHYSICIAN ASSISTANT,SULFAMETHOXAZOLE/TRIMETHOPRIM,32,122.59
OP670129,1205036647,FAMILY PRACTICE,OXYCODONE HCL,11,5137.55
GW697556,1801229489,PHYSICIAN ASSISTANT,CIPROFLOXACIN HCL,18,96.68
VS442213,1487659801,FAMILY PRACTICE,BISOPROLOL FUMARATE/HCTZ,11,90.03
UE502564,1972596799,INTERNAL MEDICINE,HYDROCHLOROTHIAZIDE,59,451.29
RN626348,1619906773,FAMILY PRACTICE,ALBUTEROL SULFATE,35,2551.75
AV656652,1467551002,PSYCHIATRY,SERTRALINE HCL,330,6379.01
UC391923,1205839222,CARDIOLOGY,HYDRALAZINE HCL,118,1538.8
AJ644978,1669440681,FAMILY PRACTICE,RANITIDINE HCL,41,470.21
YZ941679,1992870380,INTERVENTIONAL PAIN MANAGEMENT,BUPRENORPHINE HCL,35,6600.61
IW241289,1144230152,FAMILY PRACTICE,WARFARIN SODIUM,26,330.1
MO968798,1972587970,PULMONARY DISEASE,ALENDRONATE SODIUM,14,66.56
XG267735,1013353176,NURSE PRACTITIONER,ONDANSETRON HCL,13,194.62
PD657987,1568490514,INTERNAL MEDICINE,NAPROXEN,25,213.67
PH567535,1336391051,NURSE PRACTITIONER,ALLOPURINOL,11,85.34
RX440199,1588601660,FAMILY PRACTICE,TRAMADOL HCL,48,300.95
EX490095,1659392496,FAMILY PRACTICE,ZOLPIDEM TARTRATE,39,341.36
RB354248,1376606251,CARDIOLOGY,RAMIPRIL,30,631.46
MU612563,1992754832,INTERNAL MEDICINE,ALLOPURINOL,19,319.19
IF800377,1952310500,HEMATOLOGY/ONCOLOGY,ACYCLOVIR,79,1083.26
VO351039,1164596334,DENTIST,CLINDAMYCIN HCL,12,119.45
WR763772,1053632315,FAMILY PRACTICE,SERTRALINE HCL,69,427.08
EF895621,1538279476,INTERNAL MEDICINE,"PEN NEEDLE, DIABETIC",19,339.67
IT823562,1932412392,FAMILY PRACTICE,PREDNISONE,13,61.19
JW606534,1386995926,PSYCHIATRY & NEUROLOGY,SERTRALINE HCL,60,249.05
WE718888,1700934759,FAMILY PRACTICE,ACETAMINOPHEN WITH CODEINE,12,383.96
UU941584,1912118928,FAMILY PRACTICE,METFORMIN HCL,20,1066.9
PX964074,1255382891,FAMILY PRACTICE,OXYBUTYNIN CHLORIDE,99,4236.94
RS794448,1467480228,INTERNAL MEDICINE,PRAVASTATIN SODIUM,57,1155.17
RF757690,1316034705,PHYSICIAN ASSISTANT,SUMATRIPTAN SUCCINATE,15,462.09
DT554069,1518124189,PULMONARY DISEASE,MOMETASONE FUROATE,14,2929.0
AA980406,1326146390,INTERNAL MEDICINE,CLOZAPINE,23,799.18
FI917018,1699852707,HEMATOLOGY/ONCOLOGY,TAMSULOSIN HCL,17,349.66
SP212424,1952356214,NEPHROLOGY,EZETIMIBE,33,10256.26
MV552292,1851376941,INTERNAL MEDICINE,MONTELUKAST SODIUM,14,255.15
MU270452,1336195510,NEPHROLOGY,BENZTROPINE MESYLATE,27,545.01
YR125165,1356417661,PSYCHIATRY,ESCITALOPRAM OXALATE,136,1612.73
JK584084,1184770463,INTERNAL MEDICINE,CELECOXIB,19,2727.18
VC385878,1093025884,GENERAL PRACTICE,LORAZEPAM,23,108.48
UA214568,1386729796,INTERNAL MEDICINE,ESOMEPRAZOLE MAGNESIUM,21,5166.57
GU493045,1891809620,GASTROENTEROLOGY,FUROSEMIDE,154,923.74
CY928232,1285636100,GENERAL PRACTICE,FAMOTIDINE,32,334.87
QS390727,1497700694,PSYCHIATRY,TRAZODONE HCL,14,51.38
HR677135,1790723815,GERIATRIC MEDICINE,AMOXICILLIN,16,52.58
QZ902145,1396807806,INTERNAL MEDICINE,INSULIN ASPART,11,2672.7
ZC562228,1932178316,FAMILY PRACTICE,METHYLPREDNISOLONE,53,964.07
GT469165,1144231523,FAMILY PRACTICE,LATANOPROST,11,212.06
HP880749,1386606333,INTERNAL MEDICINE,EZETIMIBE,24,8852.18
TF362156,1780606830,PHYSICIAN ASSISTANT,FUROSEMIDE,44,344.3
RJ980398,1265497366,INTERNAL MEDICINE,ATENOLOL,148,879.18
JV363811,1588620470,PSYCHIATRY,DONEPEZIL HCL,150,2098.69
IV988166,1194701227,FAMILY PRACTICE,LOSARTAN/HYDROCHLOROTHIAZIDE,15,322.45
UA735844,1114919511,UROLOGY,CEPHALEXIN,119,516.29
SZ707511,1316105182,NEUROLOGY,OXYCODONE HCL,292,242805.01
XT564416,1801854294,INTERNAL MEDICINE,MEMANTINE HCL,36,14756.15
SX952275,1922096916,MEDICAL ONCOLOGY,LEVOTHYROXINE SODIUM,11,621.58
DT835257,1922150804,INTERNAL MEDICINE,LOVASTATIN,32,346.32
IP765299,1962498451,INTERNAL MEDICINE,CARVEDILOL,79,706.1
SJ757536,1578699807,FAMILY PRACTICE,GABAPENTIN,258,4030.32
OU463311,1528225844,INTERNAL MEDICINE,LOVASTATIN,51,423.19
LH337623,1811155666,PHYSICAL MEDICINE AND REHABILITATION,IBUPROFEN,12,104.1
MC994721,1366438764,CARDIOLOGY,ISOSORBIDE MONONITRATE,61,1184.66
XX715594,1548256332,CARDIOLOGY,ATORVASTATIN CALCIUM,320,4704.3
AV350767,1710986534,INTERNAL MEDICINE,RALOXIFENE HCL,17,3664.02
GA365229,1780645242,FAMILY PRACTICE,GLIPIZIDE,13,222.02
GU713643,1609981604,INTERNAL MEDICINE,TRAMADOL HCL,46,733.46
TV651552,1871659342,PSYCHIATRY,AMITRIPTYLINE HCL,16,164.12
FP857056,1487850103,NURSE PRACTITIONER,INDAPAMIDE,18,203.95
DA744410,1154498749,FAMILY PRACTICE,NEOMYCIN/POLYMYXIN B SULF/HC,17,492.04
HH824568,1326084989,INTERNAL MEDICINE,ALLOPURINOL,40,598.29
SS283014,1295051571,FAMILY PRACTICE,DAPAGLIFLOZIN PROPANEDIOL,13,4826.67
WA959251,1942261490,INTERNAL MEDICINE,DEXLANSOPRAZOLE,348,85694.93
QM681007,1326048612,FAMILY PRACTICE,EZETIMIBE,13,8373.49
RJ389155,1922193069,FAMILY PRACTICE,TAMSULOSIN HCL,19,800.15
TK353786,1477502557,FAMILY PRACTICE,COLESTIPOL HCL,15,918.95
SM705826,1427252022,EMERGENCY MEDICINE,ONDANSETRON HCL,37,240.68
XH315058,1013955988,FAMILY PRACTICE,PANTOPRAZOLE SODIUM,53,380.52
PH347485,1033100581,CARDIOLOGY,NADOLOL,13,242.3
WP153327,1407170715,INTERNAL MEDICINE,"INSULIN GLARGINE,HUM.REC.ANLOG",25,14998.98
ZO169315,1134191224,EMERGENCY MEDICINE,LISINOPRIL,14,57.97
VC737039,1518909613,FAMILY PRACTICE,DESVENLAFAXINE SUCCINATE,12,3459.33
NH957365,1316987761,NEUROLOGY,VENLAFAXINE HCL,14,663.91
EV281173,1639158314,OPHTHALMOLOGY,FLUOROMETHOLONE,38,2597.15
PI669280,1326012071,ORTHOPEDIC SURGERY,DICLOFENAC SODIUM,12,802.35
TB434220,1689611881,NEPHROLOGY,METOLAZONE,12,476.79
HH679322,1790731107,FAMILY PRACTICE,AMLODIPINE BESYLATE/BENAZEPRIL,11,777.14
NG969500,1588649099,INTERNAL MEDICINE,SULFAMETHOXAZOLE/TRIMETHOPRIM,13,62.12
JH166843,1730261421,INTERNAL MEDICINE,DICYCLOMINE HCL,17,120.02
AV257639,1134113376,HEMATOLOGY/ONCOLOGY,DENOSUMAB,20,37437.06
IF272525,1073703294,INTERNAL MEDICINE,LORAZEPAM,85,354.79
UQ508241,1740277185,INTERNAL MEDICINE,LISINOPRIL,30,194.44
DM715337,1285629238,INTERNAL MEDICINE,ALBUTEROL SULFATE,23,357.18
BO579777,1962515023,FAMILY PRACTICE,LORAZEPAM,73,383.6
YS701595,1053445403,INTERNAL MEDICINE,LOSARTAN/HYDROCHLOROTHIAZIDE,56,899.1
JZ135681,1609958743,NURSE PRACTITIONER,TRAZODONE HCL,29,252.45
UA328900,1407811797,FAMILY PRACTICE,SIMVASTATIN,130,1136.32
JA362776,1669445078,INTERNAL MEDICINE,CIPROFLOXACIN HCL,13,58.27
VA729559,1780613042,PHYSICIAN ASSISTANT,LISINOPRIL/HYDROCHLOROTHIAZIDE,67,509.62
CC793807,1922119148,CARDIOLOGY,DILTIAZEM HCL,41,1096.8
RW450513,1891782009,INTERNAL MEDICINE,LEFLUNOMIDE,12,498.74
IC116395,1063648343,INTERNAL MEDICINE,GLIMEPIRIDE,37,417.57
MZ809204,1417909698,INTERNAL MEDICINE,ATENOLOL,56,329.36
BT952767,1750355681,GERIATRIC MEDICINE,FLUTICASONE PROPIONATE,116,2444.72
FR772211,1902007669,INTERNAL MEDICINE,PAROXETINE HCL,141,1515.67
GP395917,1760520266,DERMATOLOGY,HYDROCORTISONE VALERATE,27,3193.21
SB323780,1861498685,INTERNAL MEDICINE,TAMOXIFEN CITRATE,24,357.19
EA638534,1104887314,NURSE PRACTITIONER,LEVOTHYROXINE SODIUM,134,2037.59
JZ170292,1114095551,INTERNAL MEDICINE,PREGABALIN,15,7000.95
ZJ884819,1992774954,FAMILY PRACTICE,METOPROLOL SUCCINATE,70,1920.99
NC779691,1336168418,FAMILY PRACTICE,"ESTROGENS, CONJUGATED",19,2146.76
IG129020,1922297191,INTERNAL MEDICINE,FINASTERIDE,37,424.78
AN429259,1932254133,PHYSICIAN ASSISTANT,CEPHALEXIN,12,80.3
GR215285,1275509838,FAMILY PRACTICE,FENOFIBRATE NANOCRYSTALLIZED,11,636.84
EY352905,1255391132,FAMILY PRACTICE,VALACYCLOVIR HCL,21,983.99
YP814320,1194162560,STUDENT IN AN ORGANIZED HEALTH CARE EDUCATION/TRAINING PROGRAM,METOPROLOL SUCCINATE,17,235.01
YZ447683,1750597811,FAMILY PRACTICE,OMEPRAZOLE,15,184.44
ZE412536,1639103187,FAMILY PRACTICE,VERAPAMIL HCL,42,863.14
NO979001,1255384293,NURSE PRACTITIONER,OMEPRAZOLE,33,469.47
JE955142,1972799740,OPHTHALMOLOGY,PREDNISOLONE ACETATE,60,2610.05
RL447201,1649263286,INTERNAL MEDICINE,ATENOLOL,157,964.77
SG783544,1538275912,FAMILY PRACTICE,HALOPERIDOL,27,771.2
NV564158,1114994035,NURSE PRACTITIONER,PAROXETINE HCL,55,470.19
DK758840,1710163837,INTERNAL MEDICINE,CARVEDILOL,15,88.55
YD905298,1851323901,FAMILY PRACTICE,DULOXETINE HCL,57,5545.24
JX792316,1033190038,CARDIOLOGY,LOSARTAN POTASSIUM,46,329.28
HF565465,1982688487,FAMILY PRACTICE,TAMSULOSIN HCL,90,3598.96
DW812745,1245298876,DERMATOLOGY,METRONIDAZOLE,25,3545.24
YZ967602,1043239965,INTERNAL MEDICINE,FENTANYL,18,1446.81
VZ225128,1144391616,FAMILY PRACTICE,FUROSEMIDE,59,239.7
OW824668,1235173907,PHYSICIAN ASSISTANT,ESOMEPRAZOLE MAGNESIUM,30,7599.18
AI495776,1861648560,INTERNAL MEDICINE,DIGOXIN,21,953.02
JT422014,1326048372,GASTROENTEROLOGY,MESALAMINE,23,10790.92
KX817909,1669561932,INTERNAL MEDICINE,VALSARTAN,20,1461.53
FJ201550,1740396688,FAMILY PRACTICE,DIVALPROEX SODIUM,11,205.77
BX181515,1124122817,FAMILY PRACTICE,VALACYCLOVIR HCL,11,613.22
FN889634,1962414656,INTERNAL MEDICINE,RANITIDINE HCL,164,1166.08
QM610826,1851367213,EMERGENCY MEDICINE,AMOXICILLIN/POTASSIUM CLAV,14,198.96
ET923894,1790739159,INTERNAL MEDICINE,AZITHROMYCIN,50,407.69
PZ358636,1366683757,FAMILY PRACTICE,SIMVASTATIN,152,1610.36
YD687369,1417967514,GASTROENTEROLOGY,SPIRONOLACT/HYDROCHLOROTHIAZID,18,804.55
PJ811593,1790758944,INTERNAL MEDICINE,MELOXICAM,73,374.24
SJ438047,1205811262,FAMILY PRACTICE,NEBIVOLOL HCL,120,9323.46
WR269575,1386884401,INTERNAL MEDICINE,IPRATROPIUM BROMIDE,25,1039.64
SP125967,1659307163,OBSTETRICS/GYNECOLOGY,ESTRADIOL,13,2824.41
UV281535,1700852332,INTERNAL MEDICINE,LOSARTAN POTASSIUM,20,100.09
JG151216,1760546915,FAMILY PRACTICE,METOPROLOL TARTRATE,76,462.92
WB165234,1710063078,FAMILY PRACTICE,FINASTERIDE,24,330.36
YT647558,1578646535,GASTROENTEROLOGY,OLMESARTAN MEDOXOMIL,13,6299.36
KZ724782,1134291883,FAMILY PRACTICE,RAMIPRIL,28,371.62
NE662683,1407877046,INTERNAL MEDICINE,PROMETHAZINE HCL,78,1155.27
MH846138,1164405791,PHYSICIAN ASSISTANT,PAROXETINE HCL,61,1153.58
VC158163,1558332916,FAMILY PRACTICE,FLUTICASONE PROPIONATE,122,1216.91
QV835069,1427098235,CARDIOLOGY,METOPROLOL TARTRATE,178,1525.17
MS449363,1992779136,FAMILY PRACTICE,TRAMADOL HCL,121,1064.95
OO780535,1154373462,CARDIOLOGY,MELOXICAM,61,329.74
OZ846309,1972794956,FAMILY PRACTICE,HYDROXYZINE HCL,16,86.42
YX307034,1982702486,FAMILY PRACTICE,QUINAPRIL HCL,13,80.63
UH182571,1962565333,INTERNAL MEDICINE,PREGABALIN,13,6874.51
GN548508,1790941318,PSYCHIATRY,FLUOXETINE HCL,184,1813.8
OB402812,1255323390,NURSE PRACTITIONER,VALSARTAN,12,224.82
EW817524,1306808902,INTERNAL MEDICINE,MESALAMINE,17,6614.06
PN813561,1215900279,FAMILY PRACTICE,NEBIVOLOL HCL,24,4070.41
DI136849,1093026528,NURSE PRACTITIONER,GABAPENTIN,12,425.84
FU916576,1730281346,INTERNAL MEDICINE,TAMSULOSIN HCL,28,928.8
ZG542923,1114361847,PHYSICIAN ASSISTANT,PREDNISONE,15,48.46
HZ776876,1205825825,FAMILY PRACTICE,ESOMEPRAZOLE MAGNESIUM,21,7909.83
JZ738334,1285772160,OPHTHALMOLOGY,BIMATOPROST,67,16454.95
GY678534,1619026770,CARDIOLOGY,VALSARTAN,27,1069.83
ML686890,1356775670,NURSE PRACTITIONER,POTASSIUM CHLORIDE,36,1705.2
NS659187,1235233792,INTERNAL MEDICINE,LEVOFLOXACIN,28,253.87
FN622132,1366573396,INTERNAL MEDICINE,NITROGLYCERIN,16,624.2
AH273989,1659414951,FAMILY PRACTICE,LEVOFLOXACIN,15,428.98
RB673568,1700806767,INTERNAL MEDICINE,NIFEDIPINE,44,1545.26
JH620546,1780684357,EMERGENCY MEDICINE,FLUTICASONE/SALMETEROL,40,16662.52
ZT135240,1912170283,FAMILY PRACTICE,IBUPROFEN,11,49.04
DM627613,1740284736,OPHTHALMOLOGY,DORZOLAMIDE HCL/TIMOLOL MALEAT,78,1988.0
QI458612,1831156793,INTERNAL MEDICINE,ALLOPURINOL,11,114.28
KK703203,1669464095,DENTIST,CLINDAMYCIN HCL,14,94.95
HI753089,1295798999,INTERNAL MEDICINE,ESTRADIOL,11,714.58
MW597541,1932264868,INTERNAL MEDICINE,SUMATRIPTAN SUCCINATE,13,4372.86
ZN633689,1770703779,GENERAL PRACTICE,WARFARIN SODIUM,19,1299.46
CW675833,1417986050,INTERNAL MEDICINE,COLESTIPOL HCL,12,666.84
RR251593,1710150693,CARDIAC ELECTROPHYSIOLOGY,RIVAROXABAN,155,59935.97
ZG556261,1386645299,PSYCHIATRY,PAROXETINE HCL,57,732.68
VU937011,1104815117,FAMILY PRACTICE,TRIAMCINOLONE ACETONIDE,52,3637.21
SI301170,1568463347,OTOLARYNGOLOGY,IBUPROFEN,14,96.62
MS199125,1689629263,OPHTHALMOLOGY,OLOPATADINE HCL,15,2776.73
BP673768,1063417616,PSYCHIATRY,ASENAPINE MALEATE,24,11411.49
ZP107150,1073540878,PSYCHIATRY,TRIFLUOPERAZINE HCL,12,230.76
OQ187808,1083629471,FAMILY PRACTICE,CLOBETASOL PROPIONATE,12,1756.54
YD696977,1003878042,FAMILY PRACTICE,TAMSULOSIN HCL,37,1139.51
VU572277,1831208057,FAMILY PRACTICE,METOPROLOL SUCCINATE,89,2233.03
EW891894,1104888403,ALLERGY/IMMUNOLOGY,DEXLANSOPRAZOLE,32,12411.92
SZ279409,1992707913,INTERNAL MEDICINE,LORAZEPAM,136,1240.28
DN871949,1720407984,NURSE PRACTITIONER,ARIPIPRAZOLE,62,49484.9
BC962237,1013085505,FAMILY PRACTICE,POTASSIUM CHLORIDE,77,1861.8
LZ760445,1417094061,INTERNAL MEDICINE,ALENDRONATE SODIUM,84,667.03
QD967566,1780872838,INTERNAL MEDICINE,MELOXICAM,21,72.22
NR578914,1588633176,INTERNAL MEDICINE,CARVEDILOL,21,201.17
RU876219,1023116894,FAMILY PRACTICE,METFORMIN HCL,161,726.6
KG216412,1093799876,NEUROLOGY,PREDNISONE,11,118.13
DV958728,1174545651,GENERAL PRACTICE,TRAZODONE HCL,28,87.26
ID367721,1871786970,INTERNAL MEDICINE,NIFEDIPINE,15,831.39
ZA153253,1093932576,FAMILY PRACTICE,OMEPRAZOLE,23,382.09
OP209954,1396718128,FAMILY PRACTICE,NAPROXEN,14,101.62
HC411886,1356338784,PSYCHIATRY,ESCITALOPRAM OXALATE,23,203.65
DE842985,1548311392,FAMILY PRACTICE,GEMFIBROZIL,28,215.45
FN153388,1811004161,GERIATRIC MEDICINE,POLYETHYLENE GLYCOL 3350,27,401.37
VO926682,1831171271,FAMILY PRACTICE,MONTELUKAST SODIUM,13,727.54
ND358268,1508178757,PODIATRY,OXYCODONE HCL/ACETAMINOPHEN,18,796.04
HB325635,1861482762,NURSE PRACTITIONER,DOXEPIN HCL,11,386.54
VR232879,1831118793,INTERNAL MEDICINE,PROPRANOLOL HCL,19,1528.79
XI975129,1861575136,INTERNAL MEDICINE,CARVEDILOL,14,181.63
LT194076,1861590259,PSYCHIATRY,ATOMOXETINE HCL,24,8192.11
PY727343,1619188109,ENDOCRINOLOGY,DESMOPRESSIN ACETATE,18,3559.88
KF903409,1538180633,FAMILY PRACTICE,SIMVASTATIN,14,110.79
ML664510,1881616159,INTERNAL MEDICINE,DIGOXIN,19,584.91
OG980279,1306155114,INTERNAL MEDICINE,CARVEDILOL,11,78.39
GW170858,1710908744,INTERNAL MEDICINE,TOBRAMYCIN/DEXAMETHASONE,18,857.56
XM618255,1265404214,FAMILY PRACTICE,RIVASTIGMINE TARTRATE,41,4132.32
TR881607,1861672123,HEMATOLOGY/ONCOLOGY,ONDANSETRON HCL,62,1167.32
WL483335,1689766537,INTERNAL MEDICINE,LOSARTAN/HYDROCHLOROTHIAZIDE,52,627.16
WB526835,1053365692,INTERNAL MEDICINE,NAPROXEN,96,850.35
GY970986,1386722064,INTERNAL MEDICINE,CITALOPRAM HYDROBROMIDE,45,680.08
LP556908,1821094616,INTERNAL MEDICINE,EZETIMIBE,54,17713.01
XO623123,1306959895,INTERNAL MEDICINE,VALSARTAN/HYDROCHLOROTHIAZIDE,36,635.95
YH697908,1306889522,NURSE PRACTITIONER,OXYCODONE HCL,39,1792.96
YS213623,1073633301,PHYSICIAN ASSISTANT,DIVALPROEX SODIUM,15,299.39
